Número do Alimento;Descrição dos alimentos;Tipo dos alimentos;Umidade %;Energia kcal;Energia kj;Proteína g;Lipídeos g;Colesterol g;Carboidrato g;Fibra g;Cinzas g;Cálcio g;Magnésio g;Número do alimento;Manganês mg;Fósforo mg;Ferro mg;Sódio mg;Potássio mg;Cobre mg;Zinco mg;Retinol mcg;RE mcg;RAE mcg;Tiamina mg;Riboflavina mg;Piridoxina mg;Niacina mg;Vitamina C mg
1;Arroz, integral, cozido;Cereais e derivados;70.1;124;517;2.6;1.0;NA;25.8;2.7;0.5;5;59;1;0.63;106;0.3;1;75;0.02;0.7;NA;;;0.08;Tr;0.08;Tr;
3;Arroz, tipo 1, cozido;Cereais e derivados;69.1;128;537;2.5;0.2;NA;28.1;1.6;0.1;4;2;3;0.30;18;0.1;1;15;0.02;0.5;NA;;;Tr;Tr;Tr;Tr;
7;Aveia, flocos, crua;Cereais e derivados;9.1;394;1648;13.9;8.5;NA;66.6;9.1;1.8;48;119;7;1.89;153;4.4;5;336;0.44;2.6;NA;;;0.55;0.03;Tr;4.47;1.4
8;Biscoito, doce, maisena;Cereais e derivados;3.2;443;1853;8.1;12.0;NA;75.2;2.1;1.5;54;37;8;0.78;166;1.8;352;142;0.17;1.0;NA;;;1.01;0.42;0.23;3.91;6.2
13;Biscoito, salgado, cream cracker;Cereais e derivados;4.1;432;1806;10.1;14.4;NA;68.7;2.5;2.7;20;40;13;0.69;148;2.2;854;181;0.18;1.1;NA;;;0.71;0.13;0.17;7.14;
16;Bolo, pronto, chocolate;Cereais e derivados;19.3;410;1715;6.2;18.5;77;54.7;1.4;1.3;75;28;16;0.38;197;2.1;283;212;0.05;0.7;Tr; ; ;0.13;0.09;0.05;Tr;Tr
18;Bolo, pronto, milho;Cereais e derivados;36.7;311;1303;4.8;12.4;82;45.1;0.7;1.0;83;10;18;0.11;128;0.7;134;118;0.04;0.4;57;;;0.11;0.05;Tr;Tr;Tr
40;Macarrão, trigo, cru;Cereais e derivados;10.2;371;1553;10.0;1.3;NA;77.9;2.9;0.5;17;28;40;0.53;100;0.9;7;147;0.15;0.8;NA;;;0.18;0.02;Tr;3.57;Tr
43;Milho, fubá, cru;Cereais e derivados;11.5;353;1479;7.2;1.9;NA;78.9;4.7;0.6;3;41;43;0.34;108;0.9;Tr;168;0.08;1.1;NA;26;13;0.25;Tr;Tr;0.75;Tr
44;Milho, verde, cru;Cereais e derivados;63.5;138;578;6.6;0.6;NA;28.6;3.9;0.7;2;33;44;0.12;113;0.4;1;185;0.05;0.5;NA;32;16;0.30;Tr;0.04;Tr;Tr
48;Pão, aveia, forma;Cereais e derivados;19.9;343;1435;12.4;5.7;Tr;59.6;6.0;2.5;109;57;48;1.08;182;4.7;606;210;0.14;1.7;Tr; ; ;0.09;0.03;0.08;Tr;Tr
52;Pão, trigo, forma, integral;Cereais e derivados;34.7;253;1059;9.4;3.7;NA;49.9;6.9;2.3;132;60;52;1.62;193;3.0;506;163;0.15;1.6;NA;;;0.08;0.04;0.15;Tr;Tr
53;Pão, trigo, francês;Cereais e derivados;28.5;300;1254;8.0;3.1;NA;58.6;2.3;1.8;16;25;53;0.46;95;1.0;648;142;0.13;0.8;3;;;0.39;0.67;0.60;2.34; 
64;Abóbora, cabotian, cozida;Verduras, hortaliças e derivados;86.4;48;201;1.4;0.7;NA;10.8;2.5;0.7;8;9;64;0.26;33;0.3;1;199;0.06;0.3;NA;;;0.08;Tr;0.07;Tr;7.5
